sample ID	forward sequence count	reverse sequence count
YUN3428.2	4684	4684
BAQ4166.1.2	4267	4267
YUN3856.3	4022	4022
BAQ4166.3	4019	4019
YUN3533.3	3907	3907
BAQ3473.3	3855	3855
BAQ4166.2	3805	3805
YUN3533.2	3799	3799
BAQ3473.1	3543	3543
BAQ4697.3	3419	3419
YUN3428.3	3363	3363
YUN3259.3	3338	3338
YUN3856.1.1	3296	3296
YUN3259.2	3277	3277
BAQ4166.1.1	3209	3209
YUN3428.1	3199	3199
BAQ4166.1.3	3192	3192
BAQ3473.2	3068	3068
YUN3856.2	3038	3038
YUN3856.1.2	3037	3037
YUN3533.1.2	2961	2961
BAQ2462.1	2959	2959
YUN3533.1.1	2947	2947
YUN2029.2	2807	2807
YUN1005.1.1	2798	2798
BAQ4697.1	2714	2714
BAQ2687.3	2656	2656
BAQ2687.1	2650	2650
YUN3533.1.3	2526	2526
BAQ4697.2	2514	2514
YUN3346.3	2412	2412
BAQ2420.1.1	2358	2358
YUN3856.1.3	2317	2317
YUN1609.1	2313	2313
YUN1242.3	2263	2263
YUN3259.1.2	2164	2164
BAQ2420.1.2	2133	2133
YUN3346.1	2115	2115
BAQ2687.2	2099	2099
BAQ2420.3	2081	2081
BAQ2420.1.3	2066	2066
BAQ2420.2	2017	2017
BAQ2462.2	1977	1977
BAQ2838.1	1874	1874
YUN1242.1	1810	1810
YUN3153.3	1772	1772
BAQ2838.2	1693	1693
BAQ2462.3	1549	1549
YUN3153.2	1458	1458
YUN1005.3	1289	1289
BAQ2838.3	1220	1220
YUN3259.1.3	903	903
YUN3346.2	575	575
YUN3259.1.1	191	191
YUN1242.2	33	33
YUN2029.1	29	29
BAQ1552.1.1	23	23
BAQ895.2	21	21
YUN3008.1.3	16	16
YUN3184.2	14	14
YUN3008.3	14	14
YUN1005.1.3	14	14
BAQ1370.1.3	13	13
YUN3008.1.1	10	10
YUN3153.1	8	8
YUN1609.3	7	7
BAQ1370.1.2	7	7
YUN3184.1	6	6
YUN1005.2	6	6
BAQ895.3	6	6
YUN2029.3	5	5
BAQ1552.2	5	5
YUN3008.1.2	3	3
YUN3008.2	2	2
BAQ1370.3	1	1
